agencyName,continentName,countryCode,countryName,dateUSGSignature,emergencyTypeName,projectCode,projectID,projectTitle,regionName,tableName,totalAmountApproved,windowFullName,year,projectsectors,projectclusters,projectgroupings,projectcapcodes
"United Nations High Commissioner for Refugees",Africa,TCD,Chad,2012-03-23,Displacement/Migration,12-HCR-005,3207,"Emergency nutrition and child survival response to the population of the Sahel belt of Chad and Refugees, Returnees and IDPs","Middle Africa",M,200000.0,"Underfunded Emergencies",2012,Nutrition,Nutrition,"",""
"United Nations Children’s Fund",Africa,TCD,Chad,2012-10-23,Flood,12-CEF-123,3663,"Health Emergency interventions to populations affected by flood  in Chad","Middle Africa",M,423110.0,"Rapid Response",2012,Health,Health,"",""
"United Nations Development Programme",Africa,TCD,Chad,2012-03-30,Displacement,12-UDP-003,3349,"Réduction de la vulnérabilité des IDPs et des populations hôtes dans les zones de retour","Middle Africa",M,500015.0,"Underfunded Emergencies",2012,"Early Recovery","Early Recovery","",""
"United Nations Children’s Fund",Africa,TCD,Chad,2012-10-25,Flood,12-CEF-124,3664,"Emergency WASH Intervention for Flood Affected Populations   CHD-12/WS/44834/124","Middle Africa",M,1269292.0,"Rapid Response",2012,"Water, Sanitation and Hygiene","Water Sanitation Hygiene","",""
"United Nations Children’s Fund",Africa,SDN,"Republic of the Sudan",2012-09-21,Displacement,12-CEF-106,3586,"Management of acute malnutrition in Darfur states
SUD-12/H/46507/R","Nothern Africa",M,1967497.0,"Underfunded Emergencies",2012,Nutrition,Nutrition,"",""
"Food and Agriculture Organization",Africa,SDN,"Republic of the Sudan",2012-09-20,Displacement,12-FAO-032,3587,"Support to the restoration and maintenance of the food and livelihoods security of vulnerable households (IDPs, refugees, returnees and host communities) in Darfur
SUD-12/A/46632/R ","Nothern Africa",M,2000000.0,"Underfunded Emergencies",2012,Agriculture,"Food Security","",""
"United Nations Population Fund",Africa,SDN,"Republic of the Sudan",2012-09-14,Displacement,12-FPA-039,3588,"Emergency health interventions in Darfur region","Nothern Africa",M,300001.0,"Underfunded Emergencies",2012,Health,Health,"",""
"United Nations Population Fund",Africa,SDN,"Republic of the Sudan",2012-09-21,Displacement,12-FPA-040,3589,"Strengthening Lifesaving, Comprehensive, and Multi-Sectoral Prevention and Response to GBV Survivors in Northern States
SUD-12/P-HR-RL/46866/R","Nothern Africa",M,458623.0,"Underfunded Emergencies",2012,Protection,Protection,"",""
"United Nations High Commissioner for Refugees",Africa,SDN,"Republic of the Sudan",2012-09-14,Displacement,12-HCR-042,3590,"Protection and Assistance to Refugees in Darfur","Nothern Africa",M,499886.0,"Underfunded Emergencies",2012,"Multi-sector ",Multi-Cluster,"",""
"United Nations High Commissioner for Refugees",Africa,SDN,"Republic of the Sudan",2012-09-20,Displacement,12-HCR-043,3591,"Protection and assistance for IDPs, conflict affected people and returnees in Darfur
SUD-12/P-HR-RL/46985 ","Nothern Africa",M,173085.0,"Underfunded Emergencies",2012,Protection,Protection,"",""
"World Food Programme",Africa,SDN,"Republic of the Sudan",2012-09-12,Displacement,12-WFP-062,3592,"Provision of Humanitarian Air Services in Sudan","Nothern Africa",M,3000000.0,"Underfunded Emergencies",2012,"Common Humanitarian Air Services","Coordination and Support Services","",""
"World Health Organization",Africa,SDN,"Republic of the Sudan",2012-09-18,Displacement,12-WHO-061,3593,"Urgent support to health services in Darfur","Nothern Africa",M,2138393.0,"Underfunded Emergencies",2012,Health,Health,"",""
"World Health Organization",Africa,SDN,"Republic of the Sudan",2012-09-18,Displacement,12-WHO-062,3594,"Promote water and sanitation activities in the targeted camps in Darfur  700,000 existing and new IDPs and conflict affected population  in  the most vulnerable IDP locations in Darfur","Nothern Africa",M,462657.0,"Underfunded Emergencies",2012,"Water, Sanitation and Hygiene","Water Sanitation Hygiene","",""
"United Nations High Commissioner for Refugees",Africa,TCD,Chad,2012-03-16,Displacement,12-HCR-004,3206,"Protection and assistance of refugees in Chad","Middle Africa",M,800000.0,"Underfunded Emergencies",2012,"Multi-sector ",Multi-Cluster,"",""
"World Food Programme",Africa,SDN,"Republic of the Sudan",2012-02-28,Displacement,12-WFP-021,3289,"EMOP 200312: Food assistance to vulnerable populations affected by conflict and natural disaster
","Nothern Africa",M,2705784.0,"Rapid Response",2012,"Food Aid","Food Security","",""
"International Organization for Migration",Africa,SDN,"Republic of the Sudan",2012-05-30,Displacement,12-IOM-015,3456,"Life-saving transport assistance to stranded and vulnerable South Sudanese in Kosti way-station and rail-way station","Nothern Africa",M,882075.0,"Rapid Response",2012,"Multi-sector ",Multi-Cluster,"",""
"World Health Organization",Africa,SDN,"Republic of the Sudan",2012-11-20,"Other health emergency",12-WHO-081,3692,"Yellow Fever Outbreak in Darfur   SUD-12/H/46812","Nothern Africa",M,2576108.0,"Rapid Response",2012,Health,Health,"",""
"United Nations Children’s Fund",Africa,SDN,"Republic of the Sudan",2012-09-14,Displacement,12-CEF-104,3584,"Provide quality primary health care services to vulnerable populations","Nothern Africa",M,500760.0,"Underfunded Emergencies",2012,Health,Health,"",""
"United Nations Children’s Fund",Africa,SDN,"Republic of the Sudan",2012-09-26,Displacement,12-CEF-105,3585,"Increase and maintain access to WASH basic lifesaving services for 700,000 existing and new IDPs and conflict affected population at the most vulnerable IDP locations in Darfur  SUD-12/WS/46614/124","Nothern Africa",M,2493580.0,"Underfunded Emergencies",2012,"Water, Sanitation and Hygiene","Water Sanitation Hygiene","",""
"World Food Programme",Africa,LSO,Lesotho,2012-08-15,Drought,12-WFP-055,3539,"Emergency Food Assistance to Households Affected by Severe Crop Failure","Southern Africa",M,2339518.0,"Rapid Response",2012,"Food Aid","Food Security","",""
"United Nations Children’s Fund",Africa,LSO,Lesotho,2012-08-16,Drought,12-CEF-088,3535,"Nutrition: Management of moderate and severe Acute Malnutrition","Southern Africa",M,227108.0,"Rapid Response",2012,Nutrition,Nutrition,"",""
"United Nations Children’s Fund",Africa,LSO,Lesotho,2012-08-16,Drought,12-CEF-089,3536,"Livelihood Intervention during Food Emergency (LIFE):  Social Protection Sector","Southern Africa",M,1989301.0,"Rapid Response",2012,"Food Aid","Food Security","",""
"Food and Agriculture Organization",Africa,LSO,Lesotho,2012-08-14,Drought,12-FAO-030,3537,"Early recovery support to farming households affected by drought and late rains in 2011/12 summer cropping season","Southern Africa",M,1106595.0,"Rapid Response",2012,Agriculture,"Food Security","",""
"United Nations Population Fund",Africa,LSO,Lesotho,2012-08-14,Drought,12-FPA-034,3538,"Prevention and management of sexual and gender based violence resulting from food crisis in Lesotho","Southern Africa",M,187999.0,"Rapid Response",2012,Protection,Protection,"",""
"World Health Organization",Africa,LSO,Lesotho,2012-08-16,Drought,12-WHO-054,3540,"Response to the Health effects of food shortage crisis in Lesotho","Southern Africa",M,369490.0,"Rapid Response",2012,Health,Health,"",""
"Joint United Nations Programme on HIV/AIDS ",Africa,MRT,Mauritania,2012-03-26,Displacement,12-AID-005,3335,"Programme d’urgence en faveur des réfugiés maliens /
Prévention du VIH/Sida dans les camps ciblés","Western Africa",M,38078.0,"Rapid Response",2012,Health,Health,"",""
"Office of the High Commissioner for Human Rights",Africa,MRT,Mauritania,2012-03-30,Displacement,12-CHR-001,3336,"Programme d’urgence en faveur des réfugiés maliens: assistance et conseil en droits civils et politiques et urgente prevention de conflit","Western Africa",M,85000.0,"Rapid Response",2012,Protection,Protection,"",""
"United Nations Children’s Fund",Africa,GHA,Ghana,2012-08-14,Cholera,12-CEF-087,3533,"Cholera response to children’s needs: Public awareness and support to safe drinking water in four regions affected by the cholera outbreak","Western Africa",M,201160.0,"Rapid Response",2012,"Water, Sanitation and Hygiene","Water Sanitation Hygiene","",""
"Food and Agriculture Organization",Africa,MRT,Mauritania,2012-11-29,"Insect infestation (locusts, army worms, etc.)",12-FAO-046,3701,"Emergency assistance for controlling a Desert Locust outbreak in the Sahel","Western Africa",M,751993.0,"Rapid Response",2012,Agriculture,"Food Security","",""
"World Health Organization",Africa,GHA,Ghana,2012-08-14,Cholera,12-WHO-053,3534,"Enhancing Cholera Prevention, Detection, Reproting, Case & Data Manamgement in 5 Regions with Cholera Outbreak in Ghana","Western Africa",M,111280.0,"Rapid Response",2012,Health,Health,"",""
"World Food Programme",Africa,MRT,Mauritania,2012-01-17,Drought,12-WFP-002,3175,"Prise en charge de la malnutrition aiguë modérée chez les groupes vulnérables dans les régions d’urgence nutritionnelle de la Mauritanie","Western Africa",M,2000139.0,"Rapid Response",2012,"Food Aid","Food Security","",""
"Food and Agriculture Organization",Africa,MRT,Mauritania,2012-12-05,"Other health emergency",12-FAO-047,3702,"Contrôle de la Fièvre de la vallée du Rift en Mauritanie  MRT-13/A/54374","Western Africa",M,277884.0,"Rapid Response",2012,Agriculture,"Food Security","",""
"United Nations Children’s Fund",Africa,MRT,Mauritania,2012-03-26,Displacement,12-CEF-019,3326,"Prise en charge intégrée des enfants et de leurs familles  réfugiés venant  du Mali 
","Western Africa",M,116001.0,"Rapid Response",2012,Health,Health,"",""
"United Nations Children’s Fund",Africa,MRT,Mauritania,2012-03-26,Displacement,12-CEF-020,3327,"Prise en charge intégrée des enfants et de leurs familles  réfugiés venant  du Mali 
","Western Africa",M,371876.0,"Rapid Response",2012,"Water, Sanitation and Hygiene","Water Sanitation Hygiene","",""
"World Food Programme",Africa,MLI,Mali,2012-02-24,Displacement,12-WFP-011,3221,"Provision of Humanitarian Air Services in Mali","Western Africa",M,1000000.0,"Rapid Response",2012,"Common Humanitarian Air Services","Coordination and Support Services","",""
"World Food Programme",Africa,MLI,Mali,2012-03-06,Drought,12-WFP-013,3231,"Assistance to Populations Affected by Drought
","Western Africa",M,2642012.0,"Rapid Response",2012,"Food Aid","Food Security","",""
"United Nations Children’s Fund",Africa,MRT,Mauritania,2012-03-23,Displacement,12-CEF-021,3328,"Soutien scolaire, psychologique et protection des enfants  réfugiés venant  du Mali 
","Western Africa",M,57141.0,"Rapid Response",2012,Protection,Protection,"",""
"Food and Agriculture Organization",Africa,MRT,Mauritania,2012-04-03,Displacement,12-FAO-015,3329,"Programme d’urgence en faveur des réfugiés maliens /
Préserver les moyens de subsistance des refugiés maliens à travers la santé animale","Western Africa",M,121218.0,"Rapid Response",2012,Agriculture,"Food Security","",""
"United Nations Population Fund",Africa,MRT,Mauritania,2012-03-23,Displacement,12-FPA-016,3330,"Appui à la prise en charge des besoins d’urgence en santé sexuelle et reproductive des femmes Maliennes réfugiées en Mauritanie ","Western Africa",M,228771.0,"Rapid Response",2012,Health,Health,"",""
"United Nations High Commissioner for Refugees",Africa,MRT,Mauritania,2012-04-04,Displacement,12-HCR-021,3331,"Programme d’urgence en faveur des réfugiés maliens à l’Est de la Mauritanie
","Western Africa",M,1640000.0,"Rapid Response",2012,Protection,Protection,"",""
"World Food Programme",Africa,MRT,Mauritania,2012-03-28,Displacement,12-WFP-024,3332,"Programme d’urgences en faveur des réfugiés maliens et des populations d’accueils par une assistance alimentaire 
","Western Africa",M,1640000.0,"Rapid Response",2012,"Food Aid","Food Security","",""
"World Food Programme",Africa,MRT,Mauritania,2012-03-28,Displacement,12-WFP-025,3333,"Programme d’urgences en faveur des réfugiés maliens et des populations d’accueils par une opération spéciale logistique 
","Western Africa",M,1000000.0,"Rapid Response",2012,"Common Humanitarian Air Services","Coordination and Support Services","",""
"World Health Organization",Africa,MRT,Mauritania,2012-04-13,Displacement,12-WHO-021,3334,"Assistance d’urgence aux enfants sévèrement malnutris dans les camps de réfugiés du Hodh Echargui 
","Western Africa",M,192611.0,"Rapid Response",2012,"Multi-sector ",Multi-Cluster,"",""
"World Health Organization",Africa,MRT,Mauritania,2012-12-03,"Other health emergency",12-WHO-083,3703,"Appui à la riposte à l’épidémie de FVR en  Mauritanie en 2012","Western Africa",M,445108.0,"Rapid Response",2012,Health,Health,"",""
"United Nations Children’s Fund",Africa,MLI,Mali,2012-03-09,Drought,12-CEF-009,3229,"Réponse intégrée à la crise alimentaire et nutritionnelle (Nutrition, Santé, Eau et assainissement, Protection)
","Western Africa",M,2615920.0,"Rapid Response",2012,"Multi-sector ",Multi-Cluster,"",""
"Food and Agriculture Organization",Africa,MLI,Mali,2012-03-09,Drought,12-FAO-013,3315,"Restauration d’urgence du cheptel et de la productivité agricole  de la Région de Kayes des ménages vulnérables  affectés par la crise alimentaire ","Western Africa",M,800000.0,"Rapid Response",2012,Agriculture,"Food Security","",""
"United Nations Children’s Fund",Africa,MLI,Mali,2012-06-15,Displacement,12-CEF-065,3457,"Assurer l'accès à l'éducation de qualité des garçons et des filles déplacés et déscolarisés/non scolarisés à cause du conflit armé au Mali","Western Africa",M,344749.0,"Rapid Response",2012,Education,Education,"",""
"United Nations Children’s Fund",Africa,MLI,Mali,2012-07-02,Displacement,12-CEF-066,3458,"Prise en charge psycho sociale et légale des femmes et protection des enfants victimes des violences du fait du conflit au Nord Mali ","Western Africa",M,200636.0,"Rapid Response",2012,Protection,Protection,"",""
"United Nations Children’s Fund",Africa,MLI,Mali,2012-07-10,Displacement,12-CEF-067,3459,"Appui  médical d’urgence aux populations victimes du  conflit armé et de la crise de sécurité alimentaire au Mali","Western Africa",M,273968.0,"Rapid Response",2012,Health,Health,"",""
