Paraguay;Instituto Paraguayo del Indígena (INDI);Paraguay;Agriunspecified, Other (please specify);[2011] Concluded (Contract signed);10312;Trees
China;Qingdao Kaifeng Organic Vegetable Development Co., Ltd., HONGKONG YONGXIN GROUP CO., LIMITED;China, China, Hong Kong Special Administrative Region;Food crops, Industry;[2006] Concluded (Contract signed);733;Onion, Soya Beans, Vegetables
Philippines;BioEnergy Farms ;Philippines;Biofuels;[2008] Intended (Expression of interest);;Jatropha
Philippines;Alcantara Group;Philippines;Biofuels;;;Jatropha
Philippines;Alcantara Group;Philippines;Biofuels;;;Cassava (Maniok)
Philippines;Alcantara Group;Philippines;Biofuels;;;Cassava (Maniok)
China;New Countryside Conglomerate;China;Agriunspecified, Industry, Tourism;[2007] Concluded (Contract signed);1593;Grapes
Lao People's Democratic Republic;Lilieng Power Co. Ltd.;China;Non-food agricultural commodities;Concluded (Contract signed);300;Rubber
Lao People's Democratic Republic;Lilieng Biological Development Co.;China;Industry, Non-food agricultural commodities;Concluded (Contract signed);504;Rubber
Lao People's Democratic Republic;Provincial Military Headquarter;Lao People's Democratic Republic;Non-food agricultural commodities;Concluded (Contract signed);531;Rubber
Lao People's Democratic Republic;PT Rubber Plantation Group;Lao People's Democratic Republic;Non-food agricultural commodities;Concluded (Contract signed);250;Rubber
Philippines;Tobishima Corporation;Japan;Biofuels;;;Jatropha
Lao People's Democratic Republic;Unknown;China, Lao People's Democratic Republic;Tourism;Concluded (Contract signed);1640;
Philippines;Curcas Energy Australia;Australia;Biofuels;[2008] Intended (Expression of interest);;Jatropha
Philippines;Kibio 2007;Republic of Korea;Biofuels;;;Jatropha
Philippines;Kibio 2007;Republic of Korea;Biofuels;Concluded (Oral Agreement);300;Jatropha
Kenya;West Kenya Sugar Company Limited;Kenya;Biofuels, Food crops, Renewable Energy;[2013] Intended (Under negotiation);;Sugar Cane
Philippines;DK Biofuels Philippines;Philippines;Biofuels;[2008] Intended (Expression of interest);;Jatropha
Kenya;Kenya Electricity Generating Company Limited (KenGen);Kenya;Renewable Energy;[2013] Concluded (Contract signed);8000;
Philippines;BioJet Corporation;United States of America;Biofuels;[2008] Intended (Expression of interest);;Jatropha
Philippines;Negros Biochem;Philippines;Biofuels;;;Sugar Cane
Philippines;South Bukidnon Bioenergy Inc;Philippines;Biofuels;[2008] Intended (Expression of interest);;Sugar Cane
Philippines;Guidance Management Corporation (GMC);Philippines;Biofuels;[2008] Intended (Expression of interest);;Oil Palm
Philippines;A Brown Company Inc;Philippines;Biofuels, Food crops, Non-food agricultural commodities;Concluded (Oral Agreement);;Oil Palm
Argentina;Inversiones Ganaderas S.A, Cresud S.A.;Argentina;Food crops, Livestock;[2003] Concluded (Contract signed);132000;Sorghum, Bean, Corn (Maize), Soya Beans
Mexico;Carlos Slim;Mexico;Conservation, Tourism;[2013] Concluded (Contract signed);500;
Uruguay;Union Group (UK) LLP, Sprott Resources Corp;United Kingdom of Great Britain and Northern Ireland, Canada;Food crops, Livestock;[2001] Concluded (Contract signed);25524;Rice, Soya Beans, Wheat
Uruguay;Union Group (UK) LLP, Sprott Resources Corp;United Kingdom of Great Britain and Northern Ireland, Canada;Food crops, Livestock;[2011] Concluded (Contract signed);10178;Rice, Soya Beans, Wheat
Uruguay;Union Group (UK) LLP, Sprott Resources Corp;United Kingdom of Great Britain and Northern Ireland, Canada;Food crops, Livestock;[2009] Concluded (Contract signed);2666;Rice, Soya Beans
Uruguay;Sprott Resources Corp, Union Group (UK) LLP;Canada, United Kingdom of Great Britain and Northern Ireland;Food crops, Livestock;[2009] Concluded (Contract signed);15693;Rice, Soya Beans, Wheat
Uruguay;Union Group (UK) LLP, Sprott Resources Corp;United Kingdom of Great Britain and Northern Ireland, Canada;Livestock;[2010] Concluded (Contract signed);7064;
Uruguay;Union Group (UK) LLP, Sprott Resources Corp;United Kingdom of Great Britain and Northern Ireland, Canada;Food crops, Livestock;[2008] Concluded (Contract signed);9262;
Uruguay;Union Group (UK) LLP, Sprott Resources Corp;United Kingdom of Great Britain and Northern Ireland, Canada;Food crops, Livestock;[2011] Concluded (Contract signed);1192;Rice
Uruguay;Union Group (UK) LLP, Sprott Resources Corp;United Kingdom of Great Britain and Northern Ireland, Canada;Food crops, Livestock;[2010] Concluded (Contract signed);15458;Rice
Uruguay;Union Group (UK) LLP, Sprott Resources Corp;United Kingdom of Great Britain and Northern Ireland, Canada;For wood and fibre, Livestock;[2013] Concluded (Contract signed);11502;Trees
Uruguay;Union Group (UK) LLP, Sprott Resources Corp;United Kingdom of Great Britain and Northern Ireland, Canada;Food crops, Livestock;[2010] Concluded (Contract signed);6889;Rice, Soya Beans
Uruguay;Union Group (UK) LLP, Sprott Resources Corp;United Kingdom of Great Britain and Northern Ireland, Canada;Livestock;[2010] Concluded (Contract signed);922;
Indonesia;First Pacific;China, Hong Kong Special Administrative Region;Food crops, Non-food agricultural commodities;[2005] Concluded (Contract signed);8530;Oil Palm, Rubber
Indonesia;First Pacific;China, Hong Kong Special Administrative Region;Food crops, Non-food agricultural commodities;[2006] Concluded (Contract signed);67000;Oil Palm
Indonesia;First Pacific;China, Hong Kong Special Administrative Region;Food crops, Non-food agricultural commodities;[2007] Concluded (Contract signed);85600;Oil Palm
Indonesia;First Pacific;China, Hong Kong Special Administrative Region;Food crops, Non-food agricultural commodities;[2007] Concluded (Contract signed);12950;Oil Palm
Indonesia;First Pacific;China, Hong Kong Special Administrative Region;Food crops, Non-food agricultural commodities;[2008] Concluded (Contract signed);36300;Oil Palm
Indonesia;First Pacific;China, Hong Kong Special Administrative Region;Food crops, Non-food agricultural commodities;[2007] Concluded (Contract signed);212187;Tea, Cacao, Oil Palm, Rubber
Indonesia;First Pacific;China, Hong Kong Special Administrative Region;Food crops, Non-food agricultural commodities;[2009] Concluded (Contract signed);10000;Oil Palm
Kenya;Kerio Valley Development Authority (KVDA), Government of India;Kenya, India;Biofuels, Food crops, Renewable Energy;Concluded (Contract signed);;Sugar Cane
Indonesia;Sime Darby;Malaysia;Biofuels, Food crops, Non-food agricultural commodities;Concluded (Contract signed);39117;Oil Palm
Indonesia;Sime Darby;Malaysia;Biofuels, Food crops, Non-food agricultural commodities;Concluded (Contract signed);86921;Oil Palm
Indonesia;Sime Darby;Malaysia;Biofuels, Food crops, Non-food agricultural commodities;Concluded (Contract signed);8303;Oil Palm
Indonesia;Sime Darby;Malaysia;Biofuels, Food crops, Non-food agricultural commodities;Concluded (Contract signed);4000;Oil Palm
Indonesia;Sime Darby;Malaysia;Biofuels, Food crops, Non-food agricultural commodities;Concluded (Contract signed);21013;Oil Palm
Indonesia;Sime Darby;Malaysia;Non-food agricultural commodities;Concluded (Contract signed);10000;Rubber
Indonesia;Sime Darby;Malaysia;Biofuels, Food crops, Non-food agricultural commodities;Concluded (Contract signed);8820;Oil Palm
Indonesia;Sime Darby;Malaysia;Biofuels, Food crops, Non-food agricultural commodities;Concluded (Contract signed);54938;Oil Palm
Kenya;Virgin Group Limited;United Kingdom of Great Britain and Northern Ireland;Conservation, Tourism;Concluded (Oral Agreement);13500;
Indonesia;First Resources ;Singapore;Agriunspecified, Biofuels, Non-food agricultural commodities;[2008] Concluded (Oral Agreement);90000;Oil Palm
Indonesia;First Resources ;Singapore;Agriunspecified, Biofuels, Non-food agricultural commodities;[2012] Concluded (Oral Agreement);4027;Oil Palm
Uganda;Tirupati Sarjan Limited;India;Biofuels, Food crops, Renewable Energy;[2010] Concluded (Contract signed);1214;Onion, Corn (Maize), Pineapple, Sugar Cane
Uganda;Tirupati Sarjan Limited;India;Biofuels, Food crops, Renewable Energy;[2011] Failed (Negotiations failed);3845;Sugar Cane
Uganda;Madhvani Group , Government of Uganda;Uganda;Biofuels, Food crops, Renewable Energy;[2008] Concluded (Contract signed);10000;Sugar Cane
Brazil;Genagro Ltd, Brasil Agronegócio FIP;United Kingdom of Great Britain and Northern Ireland, Brazil;Food crops;[2008] Concluded (Contract signed);5920;Cotton, Coffee Plant, Corn (Maize), Soya Beans
Brazil;Genagro Ltd, Brasil Agronegócio FIP;United Kingdom of Great Britain and Northern Ireland, Brazil;Food crops;[2008] Concluded (Contract signed);12369;Corn (Maize), Soya Beans
Brazil;Brasil Agronegócio FIP, Genagro Ltd;Brazil, United Kingdom of Great Britain and Northern Ireland;Food crops, Non-food agricultural commodities;[2008] Concluded (Contract signed);20183;Coffee Plant, Corn (Maize), Cotton, Soya Beans
Brazil;"Pacific Century Group, TRG Management LP (""TRG,"" d/b/a The Rohatyn Group), Said Holding, Pictet Private Equity Investors, Solvia Investment Management, Louis Dreyfus Group";China, Hong Kong Special Administrative Region, United States of America, Bermuda, Switzerland, United Kingdom of Great Britain and Northern Ireland, Netherlands;Biofuels, Food crops;[2007] Concluded (Contract signed);7786;Soya Beans, Sugar Cane
Brazil;"Pacific Century Group, TRG Management LP (""TRG,"" d/b/a The Rohatyn Group), Said Holding, Pictet Private Equity Investors, Solvia Investment Management, Louis Dreyfus Group";China, Hong Kong Special Administrative Region, United States of America, Bermuda, Switzerland, United Kingdom of Great Britain and Northern Ireland, Netherlands;Food crops;[2007] Concluded (Contract signed);10853;Cotton, Soya Beans
Brazil;"Pacific Century Group, TRG Management LP (""TRG,"" d/b/a The Rohatyn Group), Said Holding, Pictet Private Equity Investors, Solvia Investment Management, Louis Dreyfus Group";China, Hong Kong Special Administrative Region, United States of America, Bermuda, Switzerland, United Kingdom of Great Britain and Northern Ireland, Netherlands;Food crops;[2007] Concluded (Contract signed);8758;Cotton, Soya Beans, Sugar Cane
Brazil;BXR Group;Netherlands;Food crops, Non-food agricultural commodities;[2004] Concluded (Contract signed);12000;Cotton, Corn (Maize), Soya Beans
Uganda;Madhvani Group ;Uganda;Food crops;[2007] Concluded (Contract signed);403;Tea
Uganda;Madhvani Group ;Uganda;Food crops;[2007] Concluded (Contract signed);508;Tea
Indonesia;PT Astra Agro Lestari Tbk;Indonesia;Agriunspecified, Food crops;Concluded (Contract signed);;Oil Palm
Indonesia;PT Astra Agro Lestari Tbk;Indonesia;Agriunspecified, Food crops;Concluded (Contract signed);;Oil Palm
Indonesia;PT Astra Agro Lestari Tbk;Indonesia;Agriunspecified, Food crops;Concluded (Contract signed);;Oil Palm
Indonesia;PT Astra Agro Lestari Tbk;Indonesia;Agriunspecified, Food crops;Concluded (Contract signed);;Oil Palm
Indonesia;PT Astra Agro Lestari Tbk;Indonesia;Agriunspecified, Food crops;Concluded (Contract signed);;Oil Palm
Indonesia;PT Astra Agro Lestari Tbk;Indonesia;Agriunspecified, Food crops;Concluded (Contract signed);;Oil Palm
Indonesia;PT Astra Agro Lestari Tbk;Indonesia;Agriunspecified, Food crops;Concluded (Contract signed);;Oil Palm
Indonesia;PT Astra Agro Lestari Tbk;Indonesia;Agriunspecified, Food crops;Concluded (Contract signed);;Oil Palm
Indonesia;PT Astra Agro Lestari Tbk;Indonesia;Agriunspecified, Food crops;Concluded (Contract signed);;Oil Palm
Indonesia;PT Astra Agro Lestari Tbk;Indonesia;Agriunspecified, Food crops;Concluded (Contract signed);;Oil Palm
Indonesia;PT Astra Agro Lestari Tbk;Indonesia;Agriunspecified, Food crops;Concluded (Contract signed);;Oil Palm
Indonesia;PT Astra Agro Lestari Tbk;Indonesia;Agriunspecified, Food crops;Concluded (Contract signed);;Oil Palm
Uganda;Uganda Investment Authority (UIA);Uganda;Agriunspecified, Industry;[2008] Concluded (Contract signed);250;
Indonesia;PT Astra Agro Lestari Tbk;Indonesia;Agriunspecified, Food crops;Concluded (Contract signed);;Oil Palm
Indonesia;PT Astra Agro Lestari Tbk;Indonesia;Agriunspecified, Food crops;Concluded (Contract signed);;Oil Palm
Indonesia;PT Astra Agro Lestari Tbk;Indonesia;Agriunspecified, Food crops;Concluded (Contract signed);6607;Oil Palm
Brazil;Mitsui & Co Ltd.;Japan;Food crops;[2007] Concluded (Contract signed);10000;Cotton, Corn (Maize), Soya Beans
Indonesia;PT Astra Agro Lestari Tbk;Indonesia;Agriunspecified, Food crops;Concluded (Contract signed);2716;Oil Palm
Brazil;SLC Agrícola S.A, Mitsui & Co Ltd.;Brazil, Japan;Food crops;[2013] Concluded (Contract signed);22000;Cotton, Soya Beans
Brazil;Cresud S.A., Novo Mercado;Argentina, Brazil;Food crops;[2007] Concluded (Contract signed);31606;Grains
Brazil;Cresud S.A., Novo Mercado;Argentina, Brazil;Food crops;[2007] Concluded (Contract signed);8124;Sugar Cane
Brazil;Cresud S.A., Novo Mercado;Argentina, Brazil;Food crops;[2007] Concluded (Contract signed);37182;Grains
Brazil;Cresud S.A., Novo Mercado;Argentina, Brazil;Livestock;[2008] Concluded (Contract signed);17799;
Brazil;Cresud S.A., Novo Mercado;Argentina, Brazil;Food crops;[2011] Concluded (Contract signed);7699;Grains
Mexico;Promotora de Palma del Soconusco SAPI de CV, (ProPalma);Mexico;Biofuels;[2001] Concluded (Contract signed);600;Oil Palm
Brazil;Arakatu LLC.;United States of America;Food crops;[2007] Concluded (Contract signed);3529;Cotton, Corn (Maize), Soya Beans
Brazil;Arakatu LLC.;United States of America;Food crops;[2006] Concluded (Contract signed);1440;Papaya, Coffee Plant, Grains
Brazil;Arakatu LLC., Banco do Nordeste do Brasil S/A (Northeast Bank of Brazil S/A);United States of America, Brazil;Food crops, Industry;[2008] Concluded (Contract signed);320;Coffee Plant
China;China Modern Dairy Holdings Limited;China;Industry, Livestock;;;
Uruguay;UPM;Finland;For wood and fibre;[2011] Concluded (Contract signed);7000;Eucalyptus
Uruguay;UPM;Finland;For wood and fibre;[2011] Concluded (Contract signed);11000;Eucalyptus
Uruguay;Grantham, Mayo, Van Otterloo & Co. LLC (GMO LLC);United States of America;For wood and fibre;[2013] Concluded (Contract signed);45000;Eucalyptus
Chile;Patagonia Sur LLC;Chile;Conservation, For carbon sequestration/REDD, Other (please specify), Tourism;[2007] Concluded (Contract signed);3200;
Chile;Patagonia Sur LLC;Chile;Conservation, For carbon sequestration/REDD, Other (please specify), Tourism;[2007] Concluded (Contract signed);16059;
Chile;Patagonia Sur LLC;Chile;Conservation, For carbon sequestration/REDD, Other (please specify), Tourism;[2007] Concluded (Contract signed);1289;
Chile;Patagonia Sur LLC;Chile;Conservation, For carbon sequestration/REDD, Other (please specify), Tourism;[2007] Concluded (Contract signed);1435;
Chile;Patagonia Sur LLC;Chile;Conservation, For carbon sequestration/REDD, Tourism;[2007] Concluded (Contract signed);521;
Brazil;Klabin S.A, ARAUCO - Celulosa Arauco y Constitución S.A;Brazil, Chile;For wood and fibre;[2011] Concluded (Contract signed);107000;Trees
Brazil;Empresas CMPC (Compañía Manufacturera de Papeles y Cartones);Chile;For wood and fibre;[2012] Concluded (Contract signed);100000;Eucalyptus, Trees
Brazil;Empresas CMPC (Compañía Manufacturera de Papeles y Cartones);Chile;For wood and fibre;[2012] Concluded (Contract signed);1300;Eucalyptus, Trees
Pakistan;Fatima Group, Arif Habib Group;Pakistan;Industry;[2006] Concluded (Oral Agreement);385;
Colombia;Proteak, S.A.P.I.B. de C.V. (BMV: TEAK);Mexico;For wood and fibre;[2011] Concluded (Contract signed);1300;Teak
Mexico;Proteak, S.A.P.I.B. de C.V. (BMV: TEAK);Mexico;For wood and fibre;[2013] Concluded (Contract signed);8000;Eucalyptus
Uruguay;Arauco SA, Stora Enso;Chile, Finland;For wood and fibre;[2009] Concluded (Contract signed);66659;Eucalyptus
Uruguay;Arauco SA, Stora Enso;Chile, Finland;For wood and fibre;[2009] Concluded (Contract signed);69957;Eucalyptus
Uruguay;Arauco SA, Stora Enso;Chile, Finland;For wood and fibre;[2009] Concluded (Contract signed);40269;Eucalyptus
Uruguay;Arauco SA, Stora Enso;Chile, Finland;For wood and fibre;[2009] Concluded (Contract signed);23614;Eucalyptus
Uruguay;Arauco SA, Stora Enso;Chile, Finland;For wood and fibre;[2009] Concluded (Contract signed);15626;Eucalyptus
Uruguay;Arauco SA, Stora Enso;Chile, Finland;For wood and fibre;[2009] Concluded (Contract signed);494;Eucalyptus
